end_year,adm_1,best
#date+year+end,#adm1+name,#affected+killed
1999,Aceh Province,0
1999,Aceh Province,1
1999,Aceh Province,0
1999,Aceh Province,1
1999,Maluku Province,23
2001,Maluku Province,3
1999,Aceh Province,3
1999,Aceh Province,2
2000,Aceh Province,3
2000,Aceh Province,0
2000,Maluku Utara Province,12
2000,Aceh Province,3
2000,Aceh Province,3
2000,Aceh Province,1
2000,Aceh Province,1
2000,Aceh Province,5
2000,Maluku Province,25
2000,Aceh Province,4
2000,Maluku Utara Province,65
2000,Aceh Province,11
2000,Aceh Province,2
2000,Aceh Province,2
2000,Aceh Province,0
2000,Maluku Utara Province,12
2000,Aceh Province,2
2000,Aceh Province,2
2000,Aceh Province,0
2000,Aceh Province,3
2000,Sulawesi Tengah Province,5
2000,Aceh Province,1
2000,Aceh Province,1
2000,Maluku Utara Province,22
2000,Maluku Province,3
2000,Maluku Utara Province,114
2000,Maluku Province,10
2000,Aceh Province,0
2000,Maluku Province,5
2000,Maluku Province,13
2000,Aceh Province,4
2000,Aceh Province,4
2000,Maluku Utara Province,4
2000,Maluku Province,4
2000,Maluku Province,4
2000,Maluku Province,22
2000,Aceh Province,3
2000,Aceh Province,4
2000,Maluku Province,7
2000,Aceh Province,0
2000,Maluku Province,6
2000,Maluku Province,2
2000,Aceh Province,2
2000,Aceh Province,2
2000,Aceh Province,4
2001,Aceh Province,4
2000,Aceh Province,0
2000,Aceh Province,1
2000,Aceh Province,3
2000,Aceh Province,0
2000,Aceh Province,5
2000,Aceh Province,6
2000,Maluku Province,12
2000,Aceh Province,2
2000,Aceh Province,0
2000,Aceh Province,3
2000,Aceh Province,1
2000,Aceh Province,2
2000,Aceh Province,1
2000,Aceh Province,0
2000,Aceh Province,4
2000,Aceh Province,1
2000,Aceh Province,0
2000,Aceh Province,0
2000,Aceh Province,3
2000,Aceh Province,5
2000,Aceh Province,1
2000,Aceh Province,0
2000,Maluku Province,54
2000,Aceh Province,8
2000,Aceh Province,1
2000,Aceh Province,4
2000,Aceh Province,0
2000,Aceh Province,0
2000,Aceh Province,9
2000,Aceh Province,1
2000,Aceh Province,3
2000,Aceh Province,2
2000,Aceh Province,0
2001,Aceh Province,4
2001,Aceh Province,2
2001,Aceh Province,2
2001,Aceh Province,2
2001,Aceh Province,3
2001,Aceh Province,0
2001,Maluku Province,5
2001,Aceh Province,7
2001,Aceh Province,2
2003,Aceh Province,2
2001,Aceh Province,1
2001,Kalimantan Tengah Province,8
2001,Aceh Province,0
2001,Kalimantan Tengah Province,17
2001,Kalimantan Tengah Province,110
2001,Kalimantan Tengah Province,47
2001,Kalimantan Tengah Province,21
2001,Kalimantan Tengah Province,45
2001,Kalimantan Tengah Province,0
2001,Kalimantan Tengah Province,118
2001,Kalimantan Tengah Province,7
2001,Aceh Province,7
2001,Jawa Timur Province,2
2001,Kalimantan Tengah Province,1
2001,Kalimantan Tengah Province,1
2001,Kalimantan Tengah Province,13
2001,Jawa Timur Province,2
2001,Aceh Province,5
2001,Aceh Province,4
2001,Aceh Province,5
