id,year,active_year,start_year,end_year,type_of_violence,conflict_new_id,conflict_name,dyad_new_id,dyad_name,side_a_new_id,gwnoa,side_a,side_b_new_id,gwnob,side_b,number_of_sources,source_article,source_office,source_date,source_headline,source_original,where_prec,where_coordinates,adm_1,adm_2,latitude,longitude,geom_wkt,priogrid_gid,country,country_id,iso3,region,event_clarity,date_prec,date_start,date_end,deaths_a,deaths_b,deaths_civilians,deaths_unknown,low,best,high
,#date+year,,#date+year+start,#date+year+end,,,,,,,,#group+name+first,,,#group+name+second,,#meta+source,,,#description,,,#loc+name,#adm1+name,#adm2+name,#geo+lat,#geo+lon,,,#country+name,,#country+code,#region+name,,,#date+start,#date+end,,,,,,#affected+killed,
163449,2004,1,2004,2004,1,366,Indonesia: Aceh,794,Government of Indonesia - GAM,155,850.0,Government of Indonesia,327,,GAM,-1,AFP 27/9,,,,Lt. Col. Asep Sapari,4,Aceh Province,Aceh Province,,5.55,95.316667,POINT (95.316667 5.550000),138071,Indonesia,850,IDN,Asia,1,1,2004-09-26,2004-09-26,0,10,0,1,11,11,11
141464,2000,1,2000,2000,1,366,Indonesia: Aceh,794,Government of Indonesia - GAM,155,850.0,Government of Indonesia,327,,GAM,-1,AP 11/12/2000 Police clamp down on Aceh after independence rally; six dead,,,,,3,East Aceh Regency,Aceh Province,East Aceh Regency,4.616667,97.616667,POINT (97.616667 4.616667),136636,Indonesia,850,IDN,Asia,2,2,2000-11-08,2000-11-12,2,0,0,23,25,25,25
141624,2000,0,2000,2000,1,291,Indonesia: West Papua,628,Government of Indonesia - OPM,155,850.0,Government of Indonesia,266,,OPM,-1,"AP 12/16/2000 Soldier killed, four troops abducted; rebel violence in Indonesia claims 10 lives",,,,,4,Irian Jaya Province,Irian Jaya Province,,-5.0,140.0,POINT (140.000000 -5.000000),123041,Indonesia,850,IDN,Asia,1,1,2000-12-15,2000-12-15,1,0,0,0,1,1,1
141970,2001,1,2001,2001,1,366,Indonesia: Aceh,794,Government of Indonesia - GAM,155,850.0,Government of Indonesia,327,,GAM,-1,AP 1/15/2001 Fighting in Indonesian province as pressure builds on president,,,,police,4,Aceh Province,Aceh Province,,5.55,95.316667,POINT (95.316667 5.550000),138071,Indonesia,850,IDN,Asia,1,2,2001-01-14,2001-01-15,0,2,0,0,2,2,2
142031,2001,1,2001,2001,3,493,Government of Indonesia - Civilians,960,Government of Indonesia - Civilians,155,850.0,Government of Indonesia,1,,Civilians,-1,AFP 2001-5-12,,,,government troops,1,Saramba village,Aceh Province,North Aceh Regency,5.030547,97.204524,POINT (97.204524 5.030547),137355,Indonesia,850,IDN,Asia,1,1,2001-05-11,2001-05-11,0,0,0,0,0,0,2
142032,2001,1,2001,2001,3,493,Government of Indonesia - Civilians,960,Government of Indonesia - Civilians,155,850.0,Government of Indonesia,1,,Civilians,-1,AFP 2001-5-12,,,,government troops,1,Paya Teungoh village,Aceh Province,North Aceh Regency,5.1,97.113,POINT (97.113000 5.100000),137355,Indonesia,850,IDN,Asia,1,1,2001-05-11,2001-05-11,0,0,0,0,0,0,2
141487,2001,1,2001,2001,1,366,Indonesia: Aceh,794,Government of Indonesia - GAM,155,850.0,Government of Indonesia,327,,GAM,-1,R 6/17/2001 Eight dead as violence flares in Indonesia's Aceh.,,,,,4,Aceh Province,Aceh Province,,5.55,95.316667,POINT (95.316667 5.550000),138071,Indonesia,850,IDN,Asia,1,1,2001-06-16,2001-06-16,0,0,0,5,5,5,5
140796,2001,1,2001,2001,3,493,Government of Indonesia - Civilians,960,Government of Indonesia - Civilians,155,850.0,Government of Indonesia,1,,Civilians,-1,AFP 2001-6-21,,,,not stated,3,Bireuen Regency,Aceh Province,Bireuen Regency,4.66667,97.6667,POINT (97.666700 4.666670),136636,Indonesia,850,IDN,Asia,1,1,2001-06-20,2001-06-20,0,0,0,0,0,0,1
141488,2001,1,2001,2001,1,366,Indonesia: Aceh,794,Government of Indonesia - GAM,155,850.0,Government of Indonesia,327,,GAM,-1,AP 6/22/2001 Twenty-six killed in two days of violence in Indonesia's Aceh,,,,,3,North Aceh Regency,Aceh Province,North Aceh Regency,5.05,97.316667,POINT (97.316667 5.050000),137355,Indonesia,850,IDN,Asia,1,1,2001-06-20,2001-06-20,0,2,6,0,8,8,8
140738,2001,1,2001,2001,1,366,Indonesia: Aceh,794,Government of Indonesia - GAM,155,850.0,Government of Indonesia,327,,GAM,-1,AP 6/22/2001 Twenty-six killed in two days of violence in Indonesia's Aceh,,,,,3,South Aceh Regency,Aceh Province,South Aceh Regency,3.133333,97.45,POINT (97.450000 3.133333),134475,Indonesia,850,IDN,Asia,1,1,2001-06-21,2001-06-21,0,9,0,0,9,9,9
140809,2001,1,2001,2001,1,366,Indonesia: Aceh,794,Government of Indonesia - GAM,155,850.0,Government of Indonesia,327,,GAM,-1,AP 6/29/2001 Indonesian troops shoot 22 rebels dead in Aceh,,,,,3,East Aceh Regency,Aceh Province,East Aceh Regency,4.616667,97.616667,POINT (97.616667 4.616667),136636,Indonesia,850,IDN,Asia,1,1,2001-06-28,2001-06-28,0,2,0,0,2,2,2
141503,2001,1,2001,2001,1,366,Indonesia: Aceh,794,Government of Indonesia - GAM,155,850.0,Government of Indonesia,327,,GAM,-1,AP 11/25/2001 Three rebels killed in Indonesia's Aceh province,,,,,3,Pidie Regency,Aceh Province,Pidie Regency,4.66667,96.0,POINT (96.000000 4.666670),136633,Indonesia,850,IDN,Asia,1,2,2001-11-24,2001-11-25,0,3,0,0,3,3,3
142249,2002,1,2002,2002,1,366,Indonesia: Aceh,794,Government of Indonesia - GAM,155,850.0,Government of Indonesia,327,,GAM,2,"""BBC Monitoring Asia Pacific - Political,2002-06-17,Indonesian media reports Aceh schools targeted in arson attacks."";""Jakarta Post,2002-06-18,Six more killed in Aceh over weekend.""",BBC Monitoring Asia Pacific - Political;Jakarta Post,2002-06-17;2002-06-18,Indonesian media reports Aceh schools targeted in arson attacks.;Six more killed in Aceh over weekend.,Lt-Col Supartodi,1,Suwiek village,Aceh Province,Pidie Regency,5.273586,95.925781,POINT (95.925781 5.273586),137352,Indonesia,850,IDN,Asia,1,1,2002-06-14,2002-06-14,0,2,0,0,2,2,2
142293,2002,1,2002,2002,1,366,Indonesia: Aceh,794,Government of Indonesia - GAM,155,850.0,Government of Indonesia,327,,GAM,1,"""Agence France-Presse,2002-07-09,Indonesian minister flies to Aceh to seek input on tougher measures [Corrected 07/09/02]""",Agence France-Presse,2002-07-09,Indonesian minister flies to Aceh to seek input on tougher measures [Corrected 07/09/02],military spokesman Major Zaenal Muttaqin,3,North Aceh Regency,Aceh Province,North Aceh Regency,5.05,97.316667,POINT (97.316667 5.050000),137355,Indonesia,850,IDN,Asia,1,1,2002-07-07,2002-07-07,0,1,0,0,1,1,1
142534,2002,0,2002,2002,3,524,GAM - Civilians,991,GAM - Civilians,327,,GAM,1,,Civilians,1,"""Jakarta Post,2002-10-12,GAM executes PDI-P executive.""",Jakarta Post,2002-10-12,GAM executes PDI-P executive.,Local military spokesman Maj. Zaenal Muttaqin,2,Idi Rayeuk town,Aceh Province,East Aceh Regency,4.95,97.775,POINT (97.775000 4.950000),136636,Indonesia,850,IDN,Asia,1,1,2002-10-11,2002-10-11,0,0,1,0,1,1,1
142644,2002,1,2002,2002,1,366,Indonesia: Aceh,794,Government of Indonesia - GAM,155,850.0,Government of Indonesia,327,,GAM,1,"""Associated Press Newswires,2002-12-03,Aceh rebels threaten to pull out of peace deal if army cracks down on independence celebrations""",Associated Press Newswires,2002-12-03,Aceh rebels threaten to pull out of peace deal if army cracks down on independence celebrations,police spokesman Maj. Taufik Sugiono,2,Banda Aceh Town,Aceh Province,Kota Banda Aceh,5.55,95.316667,POINT (95.316667 5.550000),138071,Indonesia,850,IDN,Asia,1,1,2002-12-02,2002-12-02,0,2,0,0,2,2,2
141860,1991,1,1991,1991,1,366,Indonesia: Aceh,794,Government of Indonesia - GAM,155,850.0,Government of Indonesia,327,,GAM,-1,"AFP, 1991-12-23, Indonesian troops shot seven Aceh rebels dead",,,,"army, Antara news agency",1,Beutah village,Aceh Province,Pidie Regency,5.318331,95.905282,POINT (95.905282 5.318331),137352,Indonesia,850,IDN,Asia,1,1,1991-12-22,1991-12-22,0,2,0,0,2,2,2
141856,1991,1,1991,1991,1,366,Indonesia: Aceh,794,Government of Indonesia - GAM,155,850.0,Government of Indonesia,327,,GAM,-1,"HRW, 1992-02-19, COMMISSION OF INQUIRY NEEDED FOR ACEH",,,,army,1,Gunci village,Aceh Province,North Aceh Regency,5.050391,96.860819,POINT (96.860819 5.050391),137354,Indonesia,850,IDN,Asia,1,1,1991-12-28,1991-12-28,0,1,0,0,1,1,1
163539,2004,1,2004,2004,1,366,Indonesia: Aceh,794,Government of Indonesia - GAM,155,850.0,Government of Indonesia,327,,GAM,-1,AFP 14/4,,,,Lt. Col. Asep Sapari,4,Aceh Province,Aceh Province,,5.55,95.316667,POINT (95.316667 5.550000),138071,Indonesia,850,IDN,Asia,1,1,2004-04-13,2004-04-13,0,3,0,0,3,3,3
163873,2004,1,2004,2004,3,524,GAM - Civilians,991,GAM - Civilians,327,,GAM,1,,Civilians,-1,AFP 24/6,,,,Lt. Col. Asep Sapari,4,Aceh Province,Aceh Province,,5.55,95.316667,POINT (95.316667 5.550000),138071,Indonesia,850,IDN,Asia,1,1,2004-06-24,2004-06-24,0,0,1,0,1,1,1
163491,2004,1,2004,2004,1,366,Indonesia: Aceh,794,Government of Indonesia - GAM,155,850.0,Government of Indonesia,327,,GAM,-1,AFP 2/7,,,,Lt. Col. Asep Sapari,3,East Aceh Regency,Aceh Province,East Aceh Regency,4.616667,97.616667,POINT (97.616667 4.616667),136636,Indonesia,850,IDN,Asia,1,1,2004-07-01,2004-07-01,0,1,0,0,1,1,1
163788,2004,1,2004,2004,3,524,GAM - Civilians,991,GAM - Civilians,327,,GAM,1,,Civilians,-1,AFP 2/7,,,,Lt. Col. Asep Sapari,3,Bireuen Regency,Aceh Province,Bireuen Regency,4.66667,97.6667,POINT (97.666700 4.666670),136636,Indonesia,850,IDN,Asia,1,1,2004-07-01,2004-07-01,0,0,1,0,1,1,1
163524,2004,1,2004,2004,1,366,Indonesia: Aceh,794,Government of Indonesia - GAM,155,850.0,Government of Indonesia,327,,GAM,-1,AFP 28/8,,,,Lt. Col. Asep Sapari,3,Bireuen Regency,Aceh Province,Bireuen Regency,4.66667,97.6667,POINT (97.666700 4.666670),136636,Indonesia,850,IDN,Asia,1,1,2004-08-27,2004-08-27,0,2,0,0,2,2,2
163810,2004,1,2004,2004,3,524,GAM - Civilians,991,GAM - Civilians,327,,GAM,1,,Civilians,-1,BBC 28/8,,,,military,1,Ingin Jaya village,Aceh Province,Aceh Tamiang Regency,4.307191,98.094093,POINT (98.094093 4.307191),135917,Indonesia,850,IDN,Asia,1,1,2004-08-27,2004-08-27,0,0,1,0,1,1,1
141517,2005,1,2005,2005,1,366,Indonesia: Aceh,794,Government of Indonesia - GAM,155,850.0,Government of Indonesia,327,,GAM,-1,"AP 2005-04-07 ""Indonesian Troops Kill Three Suspected Rebels In Aceh",,,,,1,Ulee Matang village,Aceh Province,North Aceh Regency,5.209254,97.440656,POINT (97.440656 5.209254),137355,Indonesia,850,IDN,Asia,1,1,2005-04-06,2005-04-06,0,0,0,3,3,3,3
140837,2001,1,2001,2001,3,493,Government of Indonesia - Civilians,960,Government of Indonesia - Civilians,155,850.0,Government of Indonesia,1,,Civilians,-1,AFP 2001-10-10,,,,suspected government troops,2,Matangkuli town,Aceh Province,North Aceh Regency,5.033491,97.277406,POINT (97.277406 5.033491),137355,Indonesia,850,IDN,Asia,1,1,2001-10-09,2001-10-09,0,0,2,0,2,2,2
140907,2001,1,2001,2001,3,493,Government of Indonesia - Civilians,960,Government of Indonesia - Civilians,155,850.0,Government of Indonesia,1,,Civilians,-1,AFP 2001-10-10,,,,troops,2,Bukit Jok village,Aceh Province,East Aceh Regency,4.73,97.8877,POINT (97.887700 4.730000),136636,Indonesia,850,IDN,Asia,1,1,2001-10-09,2001-10-09,0,0,1,0,1,1,1
140845,1991,1,1991,1991,3,493,Government of Indonesia - Civilians,960,Government of Indonesia - Civilians,155,850.0,Government of Indonesia,1,,Civilians,-1,"HRW, 1991-06-19, Continuing Human Rights Violations in Aceh",,,,local journalists,2,Meunasah village,Aceh Province,Southwest Aceh Regency,3.722976,96.845365,POINT (96.845365 3.722976),135194,Indonesia,850,IDN,Asia,1,4,1991-04-01,1991-04-30,0,0,0,1,1,1,1
140908,2001,1,2001,2001,3,493,Government of Indonesia - Civilians,960,Government of Indonesia - Civilians,155,850.0,Government of Indonesia,1,,Civilians,-1,AFP 2001-10-13,,,,soldiers,1,Buket Peulawi village,Aceh Province,East Aceh Regency,4.929962,97.76476,POINT (97.764760 4.929962),136636,Indonesia,850,IDN,Asia,1,1,2001-10-12,2001-10-12,0,0,3,0,3,3,3
141858,1991,1,1991,1991,1,366,Indonesia: Aceh,794,Government of Indonesia - GAM,155,850.0,Government of Indonesia,327,,GAM,-1,"South China Morning Post (HK), 1991-04-17, More Troops sent to fight Aceh rebels; Reuters, 1991-04-08, EXPLOSION INJURES ONE AT POLICE CHIEF'S HOUSE IN ACEH",,,,"diplomats, army",1,Banda Aceh Town,Aceh Province,Kota Banda Aceh,5.55,95.316667,POINT (95.316667 5.550000),138071,Indonesia,850,IDN,Asia,1,1,1991-04-06,1991-04-06,1,0,0,0,0,1,1
141945,1990,1,1990,1990,3,524,GAM - Civilians,991,GAM - Civilians,327,,GAM,1,,Civilians,-1,"HRW, 1990-12-27, Indonesia: Human Rights Abuses in Aceh",,,,HRW,1,Tiro village,Aceh Province,Pidie Regency,5.1766,95.9615,POINT (95.961500 5.176600),137352,Indonesia,850,IDN,Asia,1,1,1990-02-02,1990-02-02,0,0,1,0,0,1,1
163415,2003,1,2003,2003,1,366,Indonesia: Aceh,794,Government of Indonesia - GAM,155,850.0,Government of Indonesia,327,,GAM,-1,Xinhua 2003-07-10,,,,Military spokesman,3,South Aceh Regency,Aceh Province,South Aceh Regency,3.133333,97.45,POINT (97.450000 3.133333),134475,Indonesia,850,IDN,Asia,2,5,2003-05-19,2003-07-09,0,2,0,0,2,2,2
163898,2003,1,2003,2003,1,366,Indonesia: Aceh,794,Government of Indonesia - GAM,155,850.0,Government of Indonesia,327,,GAM,-1,Xinhua 2003-07-10,,,,Military spokesman,3,North Aceh Regency,Aceh Province,North Aceh Regency,5.05,97.316667,POINT (97.316667 5.050000),137355,Indonesia,850,IDN,Asia,2,5,2003-05-19,2003-07-09,0,2,0,0,2,2,2
163899,2003,1,2003,2003,1,366,Indonesia: Aceh,794,Government of Indonesia - GAM,155,850.0,Government of Indonesia,327,,GAM,-1,Xinhua 2003-07-10,,,,Military spokesman,3,West Aceh Regency,Aceh Province,West Aceh Regency,4.45,96.183333,POINT (96.183333 4.450000),135913,Indonesia,850,IDN,Asia,2,5,2003-05-19,2003-07-09,0,2,0,0,2,2,2
163900,2003,1,2003,2003,1,366,Indonesia: Aceh,794,Government of Indonesia - GAM,155,850.0,Government of Indonesia,327,,GAM,-1,Xinhua 2003-07-10,,,,Military spokesman,3,Aceh Besar Regency,Aceh Province,Aceh Besar Regency,5.366667,95.533333,POINT (95.533333 5.366667),137352,Indonesia,850,IDN,Asia,2,5,2003-05-19,2003-07-09,0,2,0,0,2,2,2
141837,1989,0,1989,1989,1,366,Indonesia: Aceh,794,Government of Indonesia - GAM,155,850.0,Government of Indonesia,327,,GAM,-1,"HRW, 1990-12-27, Indonesia: Human Rights Abuses in Aceh",,,,army,2,Krueng Geukuh town,Aceh Province,North Aceh Regency,5.256405,97.001687,POINT (97.001687 5.256405),137355,Indonesia,850,IDN,Asia,1,4,1989-08-01,1989-08-30,2,0,0,0,2,2,2
163901,2003,1,2003,2003,1,366,Indonesia: Aceh,794,Government of Indonesia - GAM,155,850.0,Government of Indonesia,327,,GAM,-1,Xinhua 2003-07-10,,,,Military spokesman,3,East Aceh Regency,Aceh Province,East Aceh Regency,4.616667,97.616667,POINT (97.616667 4.616667),136636,Indonesia,850,IDN,Asia,2,5,2003-05-19,2003-07-09,0,2,0,0,2,2,2
